;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;15.1;False;False;3.29;6.69;;;;0
1;15.2;False;False;22.31;28.11;;;18.85;2
2;12.1;False;False;4.71;25.18;;;;0
3;12.2;False;False;4.53;21.89;;;;0
4;21.1;False;False;4.84;18.58;;;;0
5;21.2;False;False;27.89;51.97;;;;0
6;23.1;False;False;1.3;41.3;;;;0
7;23.2;False;False;3.04;132.96;;;;0
8;3.2;False;False;28.21;79.86;;;;0
9;3.1;False;True;30.23;18.8;;;;0
10;10.2;False;True;32.49;15.06;;;10.36;1
11;10.1;False;False;30.91;44.49;;;;0
12;29.2;False;False;1.31;107.19;;;;0
13;29.1;False;False;0.0;163.1;;;;0
14;27.1;False;False;3.95;13.93;;;;0
15;27.2;False;False;1.84;54.68;;;;0
16;2.2;False;False;4.62;76.31;;;;0
17;2.1;False;False;23.5;39.21;;;;0
18;20.1;False;True;28.63;26.65;;;23.74;1
19;20.2;False;False;3.14;133.96;;;;0
20;11.2;False;False;1.13;2.02;;;;0
21;11.1;False;False;0.06;24.5;;;;0
22;13.2;False;False;24.55;38.88;;;;0
23;13.1;False;False;2.94;43.84;;;;0
24;18.2;False;False;3.76;4.34;;;;0
25;18.1;False;False;12.91;28.61;;;;0
26;9.1;False;True;29.28;28.86;;;;0
27;9.2;False;False;31.57;120.9;;;;0
28;26.2;False;False;27.64;32.88;;;;0
29;26.1;False;False;32.13;99.35;;;;0
30;6.2;False;False;5.76;57.63;;;;0
31;6.1;False;False;40.8;78.82;;;6.42;1
32;16.1;False;False;20.36;85.74;;;;0
33;16.2;False;False;24.18;78.54;;;;0
34;14.2;False;True;23.1;15.58;;;;0
35;14.1;False;False;22.99;70.18;;;;0
36;28.1;False;False;20.06;45.03;;;;0
37;28.2;False;False;20.81;36.12;;;;0
38;7.1;False;False;7.34;29.39;;;;0
39;7.2;False;False;13.44;23.79;;;;0
40;4.1;False;False;22.91;38.33;;;;0
41;4.2;False;False;25.96;75.44;;;;0
42;19.1;False;False;32.66;33.35;;;;0
43;19.2;False;False;2.48;17.63;;;;0
44;5.2;False;False;4.05;31.2;;;;0
45;5.1;False;False;21.65;28.36;;;;0
46;30.2;False;False;18.56;50.36;;;;0
47;30.1;False;False;13.43;32.72;;;;0
48;17.2;False;False;17.29;47.84;;;;0
49;17.1;False;False;14.26;128.59;;;;0
50;8.1;False;False;17.86;23.57;;;;0
51;8.2;False;False;14.99;55.79;;;;0
52;22.1;False;False;18.85;20.92;;;;0
53;22.2;False;False;13.96;35.81;;;;0
54;1.1;False;False;7.73;12.94;;;;0
55;1.2;False;False;16.85;42.54;;;;0
56;25.2;False;False;19.41;40.21;;;;0
57;25.1;False;False;19.28;27.05;;;;0
58;24.2;False;False;18.77;31.99;;;;0
59;24.1;False;False;21.47;49.87;;;;0
60;15.0;False;False;10.3;;;;;0
61;12.0;False;False;3.98;134.5;;;;0
62;21.0;False;False;4.99;43.45;;;;0
63;23.0;False;False;0.48;105.15;;;;0
64;3.0;False;False;7.86;130.71;;;;0
65;10.0;False;False;4.2;105.22;;;;0
66;29.0;False;False;2.17;59.89;;;;0
67;27.0;False;False;0.38;113.22;;;;0
68;2.0;False;False;6.56;120.76;;;;0
69;20.0;False;False;0.97;68.4;;;;0
70;11.0;False;False;0.77;161.56;;;;0
71;13.0;False;True;6.45;4.08;;;;0
72;18.0;False;False;2.22;39.24;;;;0
73;9.0;False;False;0.21;33.09;;;;0
74;26.0;False;False;12.27;225.45;;;;0
75;6.0;False;False;11.74;174.43;;;;0
76;16.0;False;False;12.02;68.9;;;;0
77;14.0;False;False;1.48;46.6;;;;0
78;28.0;False;False;6.06;169.87;;;;0
79;7.0;False;False;0.0;0.0;;;;0
80;4.0;False;False;2.96;38.91;;;;0
81;19.0;False;False;14.51;116.86;;;;0
82;5.0;False;False;3.7;32.06;;;;0
83;30.0;False;False;4.9;113.87;;;;0
84;17.0;False;False;6.22;52.13;;;;0
85;8.0;False;False;3.42;66.29;;;;0
86;22.0;False;False;3.62;69.27;;;;0
87;1.0;False;False;6.0;41.69;;;;0
88;25.0;False;False;1.18;73.03;;;;0
89;24.0;False;False;3.14;158.88;;;;0
