;ID;x;y;duration;pupil_r;pupil_l;word;word_number;distance
2476;2477;391.6957260131835;256.2671396255493;83.0;2.894989013671875;2.937744140625;;;
2477;2478;333.8281615121024;252.224059173039;117.0;2.876070295061384;2.881894792829241;like;2.0;8.775940826961005
2478;2479;293.5947232246398;254.4852171242237;267.0;2.7973861694335938;2.7993898391723637;looks;1.0;6.514782875776291
2479;2480;400.9467727661133;246.52503290176384;167.0;2.7744049072265624;2.7993560791015626;people;4.0;14.793473866430654
2480;2481;494.780148824056;252.10711240768427;150.0;2.7881317138671875;2.804295857747396;the;6.0;9.457848133946266
2481;2482;576.831916809082;255.12721681594846;150.0;2.792224460177952;2.839421590169271;image;7.0;5.872783184051542
2482;2483;656.837180504432;255.33777985206018;216.0;2.8007296048677883;2.856243426983173;enjoying;9.0;5.66222014793982
2483;2484;749.9136062622069;251.17306594848628;91.0;2.772882080078125;2.843246459960937;game;11.0;13.826934051513717
2484;2485;819.7754974365234;255.03989510536195;167.0;2.7477783203125;2.809312438964844;on;12.0;9.96010489463805
2485;2486;861.2128767533736;257.29102849960327;184.0;2.779629794034091;2.858938043767756;the;13.0;3.7089715003967285
2486;2487;835.9333862304686;254.27533636093133;250.0;2.696183268229167;2.7642862955729166;the;13.0;6.724663639068666
2487;2488;931.675327647816;255.176992893219;183.0;2.657866044477983;2.739163485440341;which;15.0;5.823007106781006
2488;2489;1022.2643165588379;249.93158233165744;200.0;2.629114786783854;2.7221603393554688;could;16.0;11.068417668342562
2489;2490;1072.692377726237;250.4254674911499;150.0;2.63431633843316;2.72682868109809;part;18.0;10.574532508850098
2490;2491;1198.5080835678998;246.49594780978035;283.0;2.601328232709099;2.724049287683824;team-building;21.0;14.504052190219653
2491;2492;317.13900947570795;321.0944183349609;167.0;2.7079742431640623;2.7132217407226564;activity;22.0;20.905581665039108
2492;2493;282.5855758666992;325.5105218410492;167.0;2.683699035644531;2.75;activity;22.0;16.489478158950817
2493;2494;385.5272958755492;328.3972344875336;334.0;2.6280372619628904;2.6723281860351564;break;25.0;13.60276551246642
2494;2495;495.90681838989246;337.95096355676645;267.0;2.6516733169555664;2.693531036376953;foster;27.0;4.049036443233547
2495;2496;558.9572677612305;332.85724854469294;200.0;2.6344757080078125;2.664557139078776;positive;29.0;9.142751455307064
2496;2497;621.5639045021751;331.60456115549255;183.0;2.6123476895419038;2.6526073109019888;positive;29.0;10.706948914894857
2497;2498;739.2365432739257;333.6373216152191;166.0;2.6181549072265624;2.6500808715820314;environment.;31.0;8.362678384780907
2498;2499;847.0676005970347;328.9630682685159;183.0;2.594576748934659;2.642067649147727;Companies;32.0;13.036931731484117
2499;2500;964.2936935424805;321.6158230304718;200.0;2.646446228027344;2.6793034871419272;sometimes;33.0;20.3841769695282
2500;2501;1072.7761979536576;323.54400730133057;183.0;2.6144478537819604;2.683886441317472;gaming;35.0;19.819358781203785
2501;2502;1130.68896484375;319.4921422004699;100.0;2.5838546752929688;2.6685765584309897;gaming;35.0;22.507857799530086
2502;2503;1214.954857459435;320.5406178694505;217.0;2.602486243614784;2.682819073016827;way;38.0;25.4593821305495
2503;2504;332.10088819615976;405.1537916800555;283.0;2.713915656594669;2.6906208711511947;encourage;40.0;23.84620831994448
2504;2505;434.72765350341797;407.8397812843323;200.0;2.671245574951172;2.676456451416016;collaboration,;41.0;17.160218715667725
2505;2506;533.1245269775391;407.56386137008667;200.0;2.623106638590494;2.6346842447916665;relieve;42.0;17.43613862991333
2506;2507;602.8401031494141;405.03451466560364;108.0;2.6113204956054688;2.621953328450521;stress,;43.0;19.965485334396362
2507;2508;716.3192432948521;411.4037982395717;116.0;2.616064889090402;2.611291067940848;improve;45.0;13.5962017604283
2508;2509;1069.6636810302734;395.249444103241;250.0;2.628376261393229;2.65286865234375;possible;50.0;29.75055589675901
2509;2510;1029.389835357666;394.30815911293024;200.0;2.599202473958333;2.597315470377604;also;49.0;30.69184088706976
2510;2511;1198.040071759905;388.44587097849166;234.0;2.522874014718192;2.570638384137834;this;52.0;36.554129021508345
2511;2512;290.2480030059814;494.5586408206394;233.0;2.6168212890625;2.559541974748884;special;55.0;11.441359179360575
2512;2513;350.72787857055664;488.7431945800781;150.0;2.597320556640625;2.5749715169270835;event;56.0;18.256805419921875
2513;2514;451.2608814239502;479.71585249900824;200.0;2.560089111328125;2.5118929545084634;celebration,;58.0;26.284147500991764
2514;2515;576.4925537109375;495.81646227836603;200.0;2.592759450276693;2.582106272379557;that;60.0;10.183537721633968
2515;2516;673.6215182713099;491.76480593000144;233.0;2.577972412109375;2.588891165597098;company;62.0;18.235194069998556
2516;2517;781.861685180664;475.87646598815917;250.0;2.561302693684896;2.5733357747395837;encourages;63.0;34.12353401184083
2517;2518;887.3645359919622;486.07240478809064;217.0;2.5739663931039662;2.5729440542367787;short;64.0;19.927595211909363
2518;2519;969.7100772857666;475.16089403629303;400.0;2.598321914672852;2.595199584960937;gaming;65.0;30.83910596370697
2519;2520;1031.8116912841797;481.6129488945007;100.0;2.602892557779948;2.659042358398437;breaks;66.0;24.387051105499324
2520;2521;1122.1579925537108;474.1501962661743;250.0;2.632470703125;2.6849334716796878;boost;68.0;31.849803733825695
2521;2522;1203.5682678222656;468.05939698219294;200.0;2.674503326416016;2.7359657287597656;creativity;69.0;37.940603017807064
2522;2523;723.6022521972657;566.1339344501496;333.0;2.6647720336914062;2.659068298339844;productivity.;71.0;21.86606554985042
