Model,Metric,Mean,Std,N_Trials
visalformer,SIM,0.5409328321124607,0.11353612627308658,30
visalformer,AUC,0.6092573639005423,0.11383836195551959,30
visalformer,NSS,0.33555941934777533,0.3764095024578253,30
visalformer,KLD,0.7362970421056608,0.3969977340695419,30
visalformer,CC,0.20779073491149666,0.24385199268049285,30
mdsem_500,SIM,0.5069897785564482,0.10810461925931804,30
mdsem_500,AUC,0.7573404538298483,0.08540999272153467,30
mdsem_500,NSS,1.0311631350506834,0.509433736278795,30
mdsem_500,KLD,1.0204629784593215,0.5010604981143691,30
mdsem_500,CC,0.5474281667523605,0.22407994322649846,30
mdsem_3000,SIM,0.5942672257048961,0.10701108137481051,30
mdsem_3000,AUC,0.7757686813181137,0.08409735032173249,30
mdsem_3000,NSS,1.1644676213110061,0.5433657116356009,30
mdsem_3000,KLD,0.6819046428242882,0.40166755689264805,30
mdsem_3000,CC,0.5951188606479556,0.20960083662631152,30
mdsem_5000,SIM,0.6159330630777302,0.10641117282432727,30
mdsem_5000,AUC,0.7781529300542541,0.08392457394347272,30
mdsem_5000,NSS,1.1856231288737087,0.5579183999874121,30
mdsem_5000,KLD,0.6073474278980557,0.3708663162554145,30
mdsem_5000,CC,0.6034080823767426,0.2100305218456381,30
