;ID;x;y;duration;pupil_r;pupil_l;word;word_number;distance
2299;2300;457.20063400268543;325.9939928054809;67.0;2.461395263671875;2.3498306274414062;;;
2300;2301;357.216478729248;336.87276606559755;334.0;2.440995788574219;2.3457046508789063;element;2.0;5.834082488516662
2301;2302;517.4372268676757;324.9873713493347;167.0;2.394427490234375;2.3016143798828126;image;5.0;17.012628650665306
2302;2303;613.7018775939941;325.65759229660034;200.0;2.399871826171875;2.2979024251302085;man;8.0;20.383784559112378
2303;2304;672.9269256591796;331.89507236480705;167.0;2.46827392578125;2.34857177734375;and;9.0;10.10492763519295
2304;2305;766.4973602294922;333.8250474929809;200.0;2.4873530069986978;2.3955561319986978;young;11.0;12.1749525070191
2305;2306;857.0573272705078;338.20085109983165;233.0;2.5093579973493303;2.4347752162388394;sitting;13.0;3.7991489001683476
2306;2307;988.5523376464844;341.2193312644958;100.0;2.4985504150390625;2.4674224853515625;table,;16.0;0.9563056782836941
2307;2308;923.6004638671875;339.1465922355652;166.0;2.532220458984375;2.468560791015625;a;15.0;6.853407764434792
2308;2309;727.8746858076615;338.3855468143116;367.0;2.568326083096591;2.486661044034091;young;11.0;7.614453185688376
2309;2310;815.7083892822266;344.4899911880493;100.0;2.610870361328125;2.559504191080729;boy;12.0;0.0
2310;2311;961.4721221923828;342.21706409454345;167.0;2.537353515625;2.529229736328125;table,;16.0;0.0
2311;2312;908.3811149597168;351.21166169643396;134.0;2.582462310791016;2.539268493652344;at;14.0;0.0
2312;2313;1026.0763549804688;341.60625815391535;75.0;2.5742340087890625;2.52667236328125;enjoying;17.0;0.39374184608465157
2313;2314;1197.8788604736328;342.76626505851743;325.0;2.669471740722656;2.5421722412109373;together.;19.0;0.0
2314;2315;368.6009063720703;427.9223599433899;100.0;2.5742238362630205;2.436492919921875;both;22.0;0.0
2315;2316;286.780590057373;435.153694152832;200.0;2.5438232421875;2.4044469197591147;They;20.0;0.0
2316;2317;380.33991132463717;416.5403566360473;233.0;2.507441929408482;2.399566650390625;both;22.0;8.459643363952694
2317;2318;520.1839599609374;419.2799735069275;200.0;2.5043512980143228;2.3557027180989585;doughnuts;24.0;5.72002649307251
2318;2319;683.8399909973144;420.6774494647979;334.0;2.525469970703125;2.4230224609375;sprinkles;26.0;4.322550535202083
2319;2320;830.869596208845;427.4104430334908;233.0;2.539221627371652;2.4600939069475447;while;29.0;0.0
2320;2321;916.8555633544921;429.9300290107727;166.0;2.5524871826171878;2.4782867431640625;enjoy;31.0;0.0
2321;2322;995.2813201904296;429.1492255210876;166.0;2.5308258056640627;2.4563751220703125;their;32.0;0.0
2322;2323;1057.421713256836;430.4324423789978;166.0;2.513311767578125;2.443170166015625;meal.;33.0;0.0
2323;2324;1126.8132110595702;425.7672783851623;166.0;2.513296508789062;2.443353271484375;scene;35.0;3.2327216148377147
2324;2325;1222.5554504394531;423.71640086174006;200.0;2.510960896809896;2.4239425659179688;suggests;36.0;1.2835991382599445
2325;2326;599.9108047485352;501.48072338104254;100.0;2.527801513671875;2.4008026123046875;family;44.0;8.407172561096107
2326;2327;537.5539443969726;510.75990142822263;166.0;2.50665283203125;2.3900421142578123;time;42.0;0.0
2327;2328;646.7630195617676;500.7914385795593;200.0;2.506256103515625;2.3961817423502603;family;44.0;5.208561420440674
2328;2329;748.0559967041015;502.6738626480103;167.0;2.473681640625;2.4122314453125;members;45.0;3.3261373519897006
2329;2330;833.9341735839844;505.4184256962368;234.0;2.4547882080078125;2.415808541434152;friends;47.0;0.5815743037632046
2330;2331;930.8340728759766;507.2959173202514;333.0;2.490460205078125;2.4480209350585938;share;49.0;0.0
