;ID;x;y;duration;pupil_r;pupil_l;word;word_number;distance
640;641;742.7181701660155;806.4392709732056;100.0;2.7197723388671875;2.6412862141927085;;;
641;642;620.0171966552734;780.9652376174926;200.0;2.72991943359375;2.6665573120117188;is;1.0;0.0
642;643;710.3835296630859;776.8239829199655;233.0;2.7193603515625;2.6577017647879466;quote;3.0;0.0
643;644;613.3094146728515;778.0864643096924;167.0;2.665634155273437;2.575469970703125;is;1.0;0.690585327148483
644;645;792.9771514892577;776.1917003631592;501.0;2.663193766276042;2.662608846028646;the;5.0;0.9771514892577216
645;646;928.8009185791016;751.9099960327148;108.0;2.742441813151041;2.805760701497396;suggesting?;7.0;18.090003967285156
680;681;669.7368164062499;718.3178129196167;133.0;2.846885681152344;2.773384094238281;the;2.0;51.99961080518542
681;682;760.2234134674071;773.672536611557;134.0;2.820762634277344;2.773033142089844;the;5.0;2.776586532592887
682;683;941.4496192932129;780.0029082298279;133.0;2.8333969116210938;2.78458023071289;suggesting?;7.0;0.0
683;684;700.2507677078246;783.2429566383363;267.0;2.7661285400390625;2.73208236694336;quote;3.0;0.0
684;685;796.0178375244141;779.9641170501709;67.0;2.7697906494140625;2.700141906738281;the;5.0;4.0178375244140625
