;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;18.2;False;True;11.1;3.41;;;;0
1;18.1;False;True;18.39;1.13;;;;0
2;8.2;False;False;13.01;55.97;;;;0
3;8.1;False;True;11.42;11.24;;;;0
4;14.2;False;False;17.43;21.18;;;;0
5;9.1;False;False;12.68;43.23;;;;0
6;9.2;False;False;11.95;54.95;;;;0
7;27.2;False;True;9.55;2.27;;;;0
8;27.1;False;False;129.35;138.67;56.94;67.02;11.18;17
9;17.1;False;False;4.9;98.28;;;;0
10;17.2;False;True;9.4;7.67;;;;0
11;22.2;False;False;1.21;132.17;;;;0
12;22.1;False;True;14.36;1.15;;;;0
13;4.1;False;False;4.8;47.68;;;;0
14;4.2;False;False;8.77;28.48;;;;0
15;24.1;False;False;11.79;12.37;;;;0
16;24.2;False;False;9.13;21.54;;;;0
17;20.2;False;False;5.82;68.02;;;;0
18;20.1;False;False;8.9;52.17;;;;0
19;5.1;False;False;10.48;30.57;;;;0
20;5.2;False;False;3.56;41.33;;;;0
21;10.2;False;False;15.96;54.2;;;;0
22;10.1;False;False;4.78;66.74;;;;0
23;13.2;False;False;9.5;53.39;;;;0
24;13.1;False;False;3.56;215.24;;;;0
25;21.2;False;False;3.7;32.97;;;;0
26;21.1;False;False;11.09;125.24;;;;0
27;12.1;False;False;13.09;95.12;;;;0
28;12.2;False;False;9.14;38.08;;;;0
29;29.2;False;False;3.23;18.94;;;;0
30;29.1;False;False;0.86;87.14;;;;0
31;3.1;False;False;5.18;25.99;;;;0
32;3.2;False;False;7.63;38.71;;;;0
33;2.1;False;False;7.05;119.16;;;;0
34;2.2;False;False;3.56;94.7;;;;0
35;1.1;False;False;2.56;80.6;;;;0
36;1.2;False;True;12.72;0.86;;;;0
37;26.2;False;False;8.0;53.11;;;;0
38;26.1;False;False;14.32;106.07;;;;0
39;19.1;False;False;5.75;47.33;;;;0
40;19.2;False;False;10.99;105.22;;;;0
41;16.2;False;False;12.15;71.12;;;;0
42;16.1;False;False;17.34;26.6;;;;0
43;15.2;False;False;7.73;46.64;;;;0
44;15.1;False;False;2.41;78.0;;;;0
45;11.1;False;False;4.69;64.48;;;;0
46;11.2;False;True;7.67;3.12;;;;0
47;7.1;False;False;14.75;79.53;;;;0
48;7.2;False;False;12.48;17.49;;;;0
49;28.2;False;False;8.37;131.19;;;;0
50;28.1;False;True;11.31;6.01;;;;0
51;6.1;False;False;9.51;78.42;;;;0
52;6.2;False;False;5.99;52.76;;;;0
53;30.2;False;False;10.04;43.17;;;;0
54;30.1;False;False;10.43;83.17;;;;0
55;23.1;False;False;7.24;37.91;;;;0
56;23.2;False;False;3.06;136.29;;;;0
57;25.1;False;False;4.38;21.06;;;;0
58;25.2;False;False;2.37;25.47;;;;0
59;18.0;False;False;4.79;;;;;0
60;8.0;False;False;2.38;32.24;;;;0
61;14.0;False;False;0.13;27.81;;;;0
62;9.0;False;False;14.84;123.67;;;;0
63;27.0;False;False;4.97;152.16;;;;0
64;17.0;False;False;9.76;62.06;;;;0
65;22.0;False;False;5.22;7.38;;;;0
66;4.0;False;False;2.57;22.09;;;;0
67;24.0;False;False;1.91;66.57;;;;0
68;20.0;False;False;4.31;90.76;;;;0
69;5.0;False;False;3.06;144.48;;;;0
70;10.0;False;False;7.81;114.64;;;;0
71;13.0;False;False;6.92;181.2;;;;0
72;21.0;False;False;2.83;181.69;;;;0
73;12.0;False;False;5.0;255.63;;;;0
74;29.0;False;False;4.07;118.62;;;;0
75;3.0;False;False;17.76;69.7;;;;0
76;2.0;False;False;6.55;85.33;;;;0
77;1.0;False;False;16.15;188.01;;;;0
78;26.0;False;False;2.35;17.72;;;;0
79;19.0;False;False;15.03;114.95;;;;0
80;16.0;False;False;9.94;137.56;;;;0
81;15.0;False;False;6.36;62.92;;;;0
82;11.0;False;False;10.92;98.77;;;;0
83;7.0;False;False;0.13;20.01;;;;0
84;28.0;False;False;17.31;51.52;;;;0
85;6.0;False;False;1.4;17.88;;;;0
86;30.0;False;False;5.36;109.0;;;;0
87;23.0;False;False;2.73;123.03;;;;0
88;25.0;False;False;2.43;153.22;;;;0
