Metric,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
FFD,299,-0.16775392597674027,0.0036232004941018645,-0.13924430927450904,0.015977767875142244
TRT,299,-0.27728300809054884,1.1136011354466756e-06,-0.2754402977688276,1.3198660358918065e-06
nFIX,299,-0.287785859079395,4.1281999104355876e-07,-0.25012097166117486,1.2052090495027005e-05
GPT,299,-0.2994359444590606,1.308653840888296e-07,-0.3063193710018635,6.47887616301678e-08
