Metric,Preferred_Mean,Preferred_Std,Rejected_Mean,Rejected_Std,Paired_N,Mean_Difference,Std_Difference,T_Statistic,P_Value,Cohens_D,Effect_Size_Interpretation,Significant
FFD,0.1335805187919463,0.05095214260318255,0.13893679127516778,0.053970958703449486,149,-0.005356272483221476,0.06270280174526328,-1.0427227514503543,0.29877697130738645,-0.08542317622395719,negligible,False
TRT,0.2270726912751678,0.18112714170862954,0.23897657382550339,0.19618764887070195,149,-0.011903882550335566,0.26234922663840776,-0.5538625223168865,0.5805087774774584,-0.045374185786118286,negligible,False
nFIX,1.044121476510067,0.6761041913112327,1.0791677852348993,0.6478382695934158,149,-0.03504630872483223,0.8983680310763129,-0.47619093932283796,0.6346405709014779,-0.039011081775521435,negligible,False
GPT,0.40588056308724835,0.2437196878866759,0.42081766510067115,0.2570993126875354,149,-0.014937102013422814,0.3469105275600757,-0.5255838378475228,0.5999639637571885,-0.043057505687359415,negligible,False
