Metric,Paired_N,Mean_Difference,Std_Difference,W_Statistic,P_Value,Significant
FFD,149,-0.005356272483221476,0.06270280174526328,4678.0,0.08478188460621745,False
TRT,149,-0.011903882550335566,0.26234922663840776,4743.0,0.109507935499883,False
nFIX,149,-0.03504630872483223,0.8983680310763129,4847.0,0.1605217175740129,False
GPT,149,-0.014937102013422814,0.3469105275600757,4989.0,0.25670433936520576,False
