;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;7.2;False;True;3.19;2.97;;;;0
1;7.1;False;True;0.22;0.0;;;;0
2;25.2;False;True;29.18;12.42;;;;0
3;25.1;False;True;21.13;20.87;;;;0
4;1.1;False;False;5.1;87.26;;;;0
5;1.2;False;True;30.74;26.38;;;;0
6;8.1;False;False;1.25;1.76;;;;0
7;8.2;False;False;0.78;4.46;;;;0
8;30.2;False;False;32.72;64.17;;;;0
9;24.1;False;True;29.99;16.6;;;;0
10;24.2;False;True;29.7;6.06;;;;0
11;11.1;False;True;4.65;0.44;;;;0
12;11.2;False;False;3.92;77.19;;;;0
13;21.2;False;True;25.77;20.95;;;;0
14;21.1;False;True;1.45;0.23;;;;0
15;22.2;False;True;1.24;0.83;;;;0
16;22.1;False;False;34.95;55.29;;;;0
17;5.1;False;False;33.62;33.78;;;;0
18;5.2;False;False;2.12;42.41;;;;0
19;12.2;False;False;4.48;14.96;;;;0
20;12.1;False;False;0.26;0.53;;;;0
21;26.1;False;False;42.45;60.1;;;;0
22;26.2;False;False;30.42;33.5;;;;0
23;9.1;False;False;28.25;45.58;;;26.08;1
24;9.2;False;True;34.48;30.39;;;;0
25;18.1;False;False;0.56;24.94;;;;0
26;18.2;False;True;1.89;0.0;;;;0
27;17.1;False;False;0.0;0.0;;;;0
28;17.2;False;False;32.02;33.63;;;;0
29;10.2;False;True;33.76;27.52;;;;0
30;10.1;False;False;28.45;34.05;;;;0
31;16.1;False;False;29.61;44.02;;;;0
32;16.2;False;True;33.98;33.41;;;;0
33;29.1;False;True;9.08;8.52;;;;0
34;29.2;False;False;0.62;23.27;;;;0
35;19.2;False;False;0.37;10.34;;;;0
36;19.1;False;True;29.01;6.09;;;;0
37;28.1;False;True;26.93;19.79;;;;0
38;28.2;False;False;34.56;160.01;;;;0
39;6.2;False;False;1.16;61.11;;;;0
40;6.1;False;False;1.17;27.64;;;;0
41;27.1;False;False;5.81;20.69;;;;0
42;27.2;False;False;2.47;8.41;;;;0
43;14.1;False;False;33.29;37.32;;;;0
44;14.2;False;True;24.76;24.32;;;;0
45;13.1;False;False;1.39;1.63;;;;0
46;13.2;False;True;28.5;23.48;;;21.11;1
47;23.2;False;False;1.49;55.72;;;;0
48;23.1;False;False;0.49;33.58;;;;0
49;3.1;False;True;27.08;19.79;;;;0
50;3.2;False;False;35.99;67.42;;;;0
51;2.2;False;False;0.67;101.34;;;;0
52;2.1;False;False;32.6;89.75;;;;0
53;15.2;False;True;23.66;21.46;;;;0
54;15.1;False;False;2.99;123.07;;;;0
55;4.1;False;True;32.16;16.41;;;;0
56;4.2;False;False;27.24;27.36;;;;0
57;20.1;False;True;27.21;24.25;;;;0
58;20.2;False;False;1.64;49.1;;;;0
59;7.0;False;False;286.27;;;;1.78;1
60;25.0;False;True;0.39;0.0;;;;0
61;1.0;False;False;11.45;114.27;;;;0
62;8.0;False;False;14.01;26.81;;;;0
63;30.0;False;False;0.83;6.35;;;;0
64;24.0;False;False;36.33;65.13;;;0.0;1
65;11.0;False;False;8.45;25.98;;;;0
66;21.0;False;False;3.97;76.63;;;;0
67;22.0;False;True;4.6;1.59;;;;0
68;5.0;False;False;5.88;90.0;;;;0
69;12.0;False;False;5.64;90.21;;;;0
70;26.0;False;True;6.91;2.74;;;;0
71;9.0;False;False;8.27;74.44;;;;0
72;18.0;False;False;5.82;36.36;;;;0
73;17.0;False;False;14.77;22.98;;;;0
74;10.0;False;False;4.77;61.16;;;;0
75;16.0;False;False;9.71;91.88;;;;0
76;29.0;False;False;0.0;0.0;;;;0
77;19.0;False;False;0.0;20.45;;;;0
78;28.0;False;False;1.86;75.16;;;;0
79;6.0;False;False;2.55;151.11;;;;0
80;27.0;False;False;1.28;31.55;;;;0
81;14.0;False;False;0.0;2.6;;;;0
82;13.0;False;False;0.43;4.11;;;;0
83;23.0;False;False;3.74;51.64;;;;0
84;3.0;False;False;4.36;50.88;;;;0
85;2.0;False;False;3.28;87.61;;;;0
86;15.0;False;False;54.79;63.19;;;7.38;1
87;4.0;False;False;0.0;125.5;;;;0
88;20.0;False;True;3.79;1.75;;;;0
