Model,SIM_mean,SIM_std,AUC_mean,AUC_std,NSS_mean,NSS_std,KLD_mean,KLD_std,CC_mean,CC_std
Visalformer,0.5095919531043219,0.11052173005229812,0.6091093425961269,0.1377217946955254,0.33502642802287314,0.4718890111657392,0.789440867119871,0.34376203052397003,0.16042839404490614,0.2494600283544241
MDSEM-500,0.46723930459460666,0.11819422789958282,0.7573389612618381,0.11925926090641761,1.0317506605608118,0.7437933775952982,1.2843902842952983,0.6207986071689825,0.4474083737521332,0.24259072543947507
MDSEM-3000,0.5347983932793852,0.11026462476022866,0.7757882173562107,0.11909755928737864,1.1652495865832329,0.7874983400537785,0.946982242931614,0.521375245665329,0.48325857946867024,0.2257658935245544
MDSEM-5000,0.551204014471721,0.10842417020932775,0.7781806756744521,0.11920693258093974,1.1864156863387665,0.7998168564251277,0.8702525386235594,0.48952021449973326,0.4890493508365821,0.22385736420571312
