;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;23.1;False;True;18.34;8.75;;;;0
1;23.2;False;False;7.07;133.51;;;;0
2;15.2;False;True;19.8;6.36;;;;0
3;15.1;False;False;13.02;56.84;;;;0
4;25.2;False;False;17.29;18.11;;;;0
5;25.1;False;False;22.35;25.84;;;;0
6;27.2;False;False;7.89;26.71;;;;0
7;27.1;False;False;10.89;11.65;;;;0
8;26.2;False;True;22.44;19.25;;;;0
9;26.1;False;False;52.4;193.74;;;;0
10;18.1;False;False;8.53;76.98;;;;0
11;18.2;False;True;6.87;1.45;;;;0
12;28.1;False;True;15.58;10.27;;;;0
13;28.2;False;False;53.51;128.32;;;;0
14;12.2;False;True;10.3;3.61;;;;0
15;12.1;False;False;4.96;88.63;;;;0
16;13.1;False;False;7.79;130.02;;;;0
17;13.2;False;True;19.78;4.3;;;;0
18;29.2;False;False;6.13;57.15;;;;0
19;29.1;False;False;0.29;172.8;;;;0
20;14.2;False;False;22.64;24.33;;;;0
21;14.1;False;False;20.49;40.72;;;;0
22;17.1;False;False;7.42;44.39;;;;0
23;17.2;False;False;45.21;61.78;;;;0
24;11.1;False;False;3.08;21.04;;;;0
25;11.2;False;False;5.1;7.42;;;;0
26;6.1;False;False;11.71;31.0;;;;0
27;6.2;False;False;11.14;54.63;;;;0
28;4.1;False;False;25.54;28.34;;;;0
29;4.2;False;False;22.01;25.25;;;;0
30;24.2;False;False;42.12;54.21;;;28.04;2
31;24.1;False;True;24.49;23.26;;;18.02;3
32;9.1;False;True;18.85;13.55;;;;0
33;9.2;False;False;30.6;40.48;;;;0
34;3.2;False;False;45.18;132.98;;;;0
35;3.1;False;True;21.38;16.97;;;15.16;1
36;8.1;False;False;8.63;124.41;;;;0
37;8.2;False;False;3.11;61.61;;;;0
38;7.1;False;False;0.0;127.41;;;;0
39;7.2;False;False;10.65;24.37;;;;0
40;16.1;False;False;76.55;91.36;;;47.56;1
41;16.2;False;False;31.15;60.02;;;;0
42;19.2;False;False;5.37;9.06;;;;0
43;19.1;False;False;9.84;53.73;;;;0
44;22.1;False;False;30.48;65.31;;;;0
45;22.2;False;False;5.29;133.27;;;;0
46;10.2;False;False;24.75;550.92;;;;0
47;10.1;False;False;20.49;22.23;;;;0
48;5.2;False;True;12.91;8.28;;;;0
49;5.1;False;False;24.79;42.02;;;;0
50;30.1;False;True;21.57;19.33;;;;0
51;30.2;False;False;25.06;108.98;;;;0
52;1.2;False;True;52.37;35.72;;;27.77;2
53;1.1;False;False;5.91;149.72;;;;0
54;20.2;False;False;7.67;66.1;;;;0
55;20.1;False;True;27.52;24.54;;;;0
56;21.1;False;False;9.25;31.33;;;;0
57;21.2;False;False;42.74;497.39;;;25.28;2
58;2.2;False;False;98.79;177.46;;;8.37;2
59;2.1;False;False;45.74;71.08;;;;0
60;23.0;False;False;23.84;;;;;0
61;15.0;False;False;17.22;93.99;;;;0
62;25.0;False;False;12.03;14.69;;;;0
63;27.0;False;False;20.75;24.86;;;;0
64;26.0;False;True;14.72;14.25;;;;0
65;18.0;False;False;7.44;153.98;;;;0
66;28.0;False;False;20.41;31.43;;;;0
67;12.0;False;False;13.78;76.56;;;;0
68;13.0;False;False;11.68;58.01;;;;0
69;29.0;False;True;9.56;8.05;;;;0
70;14.0;False;False;17.7;123.23;;;;0
71;17.0;False;False;9.93;133.61;;;;0
72;11.0;False;True;8.03;3.5;;;;0
73;6.0;False;True;15.17;12.73;;;;0
74;4.0;False;False;23.52;114.99;;;;0
75;24.0;False;False;22.91;55.47;;;;0
76;9.0;False;False;21.67;84.32;;;;0
77;3.0;False;False;12.75;57.63;;;;0
78;8.0;False;False;17.22;78.86;;;;0
79;7.0;False;False;25.49;35.5;;;17.92;1
80;16.0;True;False;;;;;;0
81;19.0;False;False;24.59;49.38;;;;0
82;22.0;False;False;12.19;145.22;;;;0
83;10.0;False;False;13.53;95.96;;;;0
84;5.0;False;False;13.43;15.81;;;;0
85;30.0;False;False;15.23;101.61;;;;0
86;1.0;True;False;;;;;;0
87;20.0;False;False;21.88;109.06;;;;0
88;21.0;False;False;17.06;85.31;;;;0
89;2.0;False;False;13.6;575.99;;;;0
